Column1,Column2,Column3,Column4
0,TERAROSA 한남점,서울특별시 용산구 이태원로36길 15(용산구 한남동 736-4),9：00～22：00
1,TRVR,서울특별시 용산구 회나무로 44가길 45(이태원동 207-32),"화요일~금요일 카페 9:00~21:00(숍 ~18:00)
토요일~일요일 카페 10:00~21:00(숍 ~18:00)"
2,DIRTY ROSE CLUB,서울특별시 용산구 이태원로 20가길 11(이태원동 72-16),20:00~26:00(금/토요일 ~27:00)
3,Soap Seoul,서울특별시 용산구 보광로 60길 14-9(이태원동 132-3),목/금/토요일 22:00~29:00
4,HOTEL DOUBLE A,서울특별시 중구 퇴계로 176(남학동 13-2),02-2268-7111
5,LAiK residence,서울특별시 용산구 독서당로 87 (한남동 32-28) 2F,10:00~19:00
6,Chapter1 edit,서울특별시 서초구 나루터로 65(잠원동 15-8),"11:00~18:00（Found Local 카페 10:00~18:00, 비스트로 19:00~24:00)"
7,SARU,서울특별시 용산구 회나무로 28길 6-3(이태원동 212-21),12:00~22:00
8,CAFE TAPE,서울특별시 용산구 이태원로14길 21 (이태원동 63-5)2F,12:00~24:00(금/토12:00~25:00)
9,WARPED.,서울특별시 용산구 이태원로42길 26（한남동 683-94） 1층,13:00~21:00
10,Perhaps,서울특별시 송파구 백제고분로29길 29 (삼전동 108-2) 1층,11:00~21:00
11,벽돌 HAPPY FOOD,서울특별시 강남구 도산대로51길 36(신사동 655) 1층,12:00~24:00(금/토요일 12:00~27:00)
12,만선호프,서울특별시 중구 을지로13길 19(을지로3가 95-1),12:00~24:00
13,지능계발,서울특별시 마포구 망원로2길 82（망원동 397-141）,14:00~22:30
14,서울서 둘째로 잘하는 집,서울특별시 종로구 삼청로 122-1 (삼청동 28-21),11：00～21：00
15,Kompakt Record bar,서울특별시 강남구 도산대로 25길 46 (신사동 566-1),19：00～26：00
16,아카이브 봄,서울특별시 용산구 백범로 77길 24（원효로 1가 26-24),12:00~19:00
17,아티스트 프루프 숍,서울특별시 중구 남대문로 5길 9(북창동 93-3),13:00~18:00
18,Still Books,서울특별시 용산구 대사관로 35(한남동 657-128),12:00~21:30
19,KioskKiosk,서울특별시 중구 퇴계로 6가길 30(남창동 194) 피크닉 #104,12:00~19:00
20,더블유디에이치,서울특별시 성동구 연무장길 8-1,"월~금요일 12:00~20:00, 토/일요일 13:00~20:00"
21,시티 카메라,서울특별시 용산구 보광동 우사단로 10마길 4,"월~금요일 15:00~22:00, 토/일요일 12:00~22:00"
22,Cakeshop,"서울특별시 용산구 이태원로 134
서울특별시 용산구 이태원동 34-16","Thur, Fri, Sat 22:00~05:00"
23,우주만물,서울특별시 중구 을지로11길 29 2F（서울특별시 중구 수표동 11-3 2F）,14:00~20:00
24,파도 식물,서울특별시 용산구 이태원로 240,12:00~20:00
25,DISCO SURF,서울특별시 용산구 신흥로2길 (서울특별시 용산구 용산동2가 47-1),11:30~26:00
26,object,서울특별시 마포구 와우산로 35길 13（서울특별시 마포구 서교동 400-1）,11:00~22:00
27,조용한 저녁,서울특별시 마포구 서강로 11길 18 (서울특별시 마포구 창전동 2-31),17:00~24:00(토 13:00~22:00)
28,두오모 BOOKS&COOKS,서울특별시 종로구 지하문로 16길 5(서울특별시 효자동 40-2),"12:00~22:00, 쉬는 시간 15:00~18:00"
29,브릭하우스76,서울특별시 은평구 연서로 40(서울특별시 은평구 역촌동 35-29),"Tue-Sat 17:00~2:00, Sun&holiday 17:00~24:00"
30,녁,서울특별시 중구 수표로 65(서울특별시 중구 수표동 56?1),"월~금 10:00~00:00, 토 11:00~00:00, 일 11:00~21:00"
31,아라리오 뮤지엄 인 스페이스,서울특별시 종로구 율곡로 83 (서울특별시 종로구 후원동 219),10:00~19:00
32,미림당,서울특별시 송파구 백제고분로 46길 29(서울특별시 송파구 송파동 144? 2),12:00~20:00
33,국립현대미술관 서울관,서울특별시 종로구 삼청로 30 (서울특별시 종로구 소격동 165),"Mon, Tue, Wed, Thur, Sun 10:00~18:00, Fri, Sat 10:00~21:00"
34,노말에이,서울특별시 중구 을지로 121-1 (서울특별시 중구 을지로 3가 65-25) 2F,"12:00~20:00(화~금), 13:00~20:00(토)"
35,카페 수카라,서울특별시 마포구 와우산로 157 1F(서울시 마포구 서교동 327-9 1F),11:00～23:00
36,덕수궁,서울 중구 세종대로 99 덕수궁(정동 5-1),9:00~21:00(20:00까지 입장 가능)
37,배드핸즈 타투 워크스,"서울특별시 영등포구 도림로 435 성문빌딩
(문래동2가 14-25)",14:00~22:00
38,MODECi,"서울특별시 마포구 와우산로 64 5F
（서울특별시 마포구 상수동 86-22 5F）",Fri-Sat 24:00~06:00
39,232 Seoul,서울특별시 용산구 이태원로 232 (서울특별시 용산구 한남동 683-122),11:00~26:00(금/토요일 11:00~28:00)
40,HENZ SHOP,서울특별시 마포구 와우산로 29마길 15-8 (서울특별시 마포구 서교동 333-39) 1층,13:00~21:00
41,복덕방,"서울특별시 마포구 포은로8길 5
（서울특별시 마포구 망원동 414-14）",18:00～26:00 (토요일 17:00～26:00)
42,TEA Collective,"서울특별시 강남구 도산대로55길 49
（서울특별시 강남구 청담동 84-21）",월~토요일 11:00 ? 22:00 (일요일: 11:00 ? 20:00)
43,KIOSQUE,"서울특별시 마포구 월드컵로19길 74 어쩌다가게 204호
（서울특별시 마포구 망원동 57-194 어쩌다가게 204호）",12:00 ? 21:00
44,Things We Love,"서울특별시 종로구 율곡로 187 1F
（서울특별시 종로구 연건동 302-18 1F）",11:00 ? 20:00 (Sun 13:00 ? 20:00)
45,place MAK,서울특별시 서대문구 홍제천로4길 39-26 (서울특별시 서대문구 연희동 622),12:00～19:00
46,GOOD TIMES BAD TIMES,서울특별시 마포구 동교로 38길 26-7 B1F (서울특별시 마포구 연남동 390-48),15:00~21:00(토/일 13:00~21:00)
47,ORANG ORANG,서울특별시 용산구 소월로 20길 26-14 (서울특별시 용산구 용산동2가 1-62),11:00~23:00(일요일 ~22:00)
48,연희동 은/는,서울특별시 서대문구 연희로 11라길 10-6 (서울특별시 서대문구 연희동 132-32),가게마다 다름
49,가꾸다 스튜디오,서울특별시 용산구 후암로34길 6 (서울특별시 용산구 후암동 27-8),"월~금 10:00~19:00, 토 11:00~18:00"
50,피프티피프티,서울특별시 강남구 논현로 153길 53 (서울특별시 강남구 신사동 543),12:00~21:00
51,빠르크,서울특별시 용산구 이태원로55가길 26-5 (서울특별시 용산구 한남동 743-1 2층),"11:30~22:00(금/토/일은 ~23:00), 쉬는 시간 15:30~17:30"
52,강원정,서울특별시 용산구 원효로89길 13-10 (서울특별시 용산구 원효로1가 48-7),"11:00~20:30, 쉬는 시간 14:30~17:30"
53,옥동식,서울특별시 마포구 양화로 7길 44-10 (서울특별시 마포구 서교동 385-6 3차 신도 빌라),"런치 11:00~14:00, 디너 17:00~19:30(품절 시 영업 종료)"
54,폴앤폴리나,서울특별시 서대문구 연희로11길 56（서울특별시 서대문구 연희동 125-7）,11:00-19:00
55,SETERECORDS,서울특별시 마포구 동교로 130 2F (서울특별시 마포구 서교동 464-1 2F),"Mon- Fri: 12:00-19:00, Sun: 14:00-19:00"
56,더 풍년,서울특별시 서대문구 독립문로 31-11 (서울특별시 서대문구 옥천동 66),17:30-02:00
57,낙원장호텔,"25 Supyo-ro 28-gil,Ikseon-dong,Jongno-gu,Seoul（170 Nakwon-dong,Jongno-gu,Seoul）",02-742-1920
58,창신기지 크리에이티브 하우스,서울특별시 종로구 종로 48길 31(서울특별시 종로구 창신동 459-35),15:00/11:00
59,눅서울,서울특별시 용산구 소월로 2나길 6-2 (서울특별시 용산구 후암동 439-3),010-8284-2886
60,고이,서울 종로구 북촌로11길 13-12,체크인/체크아웃: 14:00/11:00
61,장프리고,서울특별시 중구 퇴계로 62길 9-8,"12:00~02:00(월~목), 12:00~3:00(금/토)"
